fullname,shortname,path,k,b,mask,dot,unit,type,records
%d#堆-SN序列号,SN序列号,/BMS数据块/%d/BMS遥测信息/SN序列号,1,0,0x7fffffff,0,,数字,1
%d#堆-电池堆SOC,电池堆SOC,/BMS数据块/%d/BMS遥测信息/电池堆SOC,1,0,0x7fffffff,0,%,数字,1
%d#堆-电池堆SOH,电池堆SOH,/BMS数据块/%d/BMS遥测信息/电池堆SOH,1,0,0x7fffffff,0,%,数字,1
%d#堆-电池堆电流,电池堆电流,/BMS数据块/%d/BMS遥测信息/电池堆电流,1,0,0x7fffffff,0,A,数字,1
%d#堆-电池堆电压,电池堆电压,/BMS数据块/%d/BMS遥测信息/电池堆电压,1,0,0x7fffffff,0,V,数字,1
%d#堆-电池组数,电池组数,/BMS数据块/%d/BMS遥测信息/电池组数,1,0,0x7fffffff,0,组,数字,1
%d#堆-电压极差,电压极差,/BMS数据块/%d/BMS遥测信息/电压极差,1,0,0x7fffffff,0,V,数字,1
%d#堆-机器版本号,机器版本号,/BMS数据块/%d/BMS遥测信息/机器版本号,1,0,0x7fffffff,0,,数字,1
%d#堆-机器型号,机器型号,/BMS数据块/%d/BMS遥测信息/机器型号,1,0,0x7fffffff,0,,数字,1
%d#堆-可用功率,可用功率,/BMS数据块/%d/BMS遥测信息/可用功率,1,0,0x7fffffff,0,,数字,1
%d#堆-可用能量,可用能量,/BMS数据块/%d/BMS遥测信息/可用能量,1,0,0x7fffffff,0,,数字,1
%d#堆-累计充电容量,累计充电容量,/BMS数据块/%d/BMS遥测信息/累计充电容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-累计放电容量,累计放电容量,/BMS数据块/%d/BMS遥测信息/累计放电容量,1,0,0x7fffffff,0,A.h,数字,1
%d#堆-平均电压,平均电压,/BMS数据块/%d/BMS遥测信息/平均电压,1,0,0x7fffffff,0,V,数字,1
%d#堆-系统版本号,系统版本号,/BMS数据块/%d/BMS遥测信息/系统版本号,1,0,0x7fffffff,0,,数字,1
%d#堆-协议版本,协议版本,/BMS数据块/%d/BMS遥测信息/协议版本,1,0,0x7fffffff,0,,数字,1
%d#堆-协议号,协议号,/BMS数据块/%d/BMS遥测信息/协议号,1,0,0x7fffffff,0,,数字,1
%d#堆-状态标志位,状态标志位,/BMS数据块/%d/BMS遥测信息/状态标志位,1,0,0x7fffffff,0,,数字,1
%d#堆-最低电池电压,最低电池电压,/BMS数据块/%d/BMS遥测信息/最低电池电压,1,0,0x7fffffff,0,V,数字,1
%d#堆-最低电池温度,最低电池温度,/BMS数据块/%d/BMS遥测信息/最低电池温度,1,0,0x7fffffff,0,℃,数字,1
%d#堆-最低电压电池所在组ID,最低电压电池所在组ID,/BMS数据块/%d/BMS遥测信息/最低电压电池所在组ID,1,0,0x7fffffff,0,,数字,1
%d#堆-最低电压电池组号,最低电压电池组号,/BMS数据块/%d/BMS遥测信息/最低电压电池组号,1,0,0x7fffffff,0,,数字,1
%d#堆-最低温度电池所在组ID,最低温度电池所在组ID,/BMS数据块/%d/BMS遥测信息/最低温度电池所在组ID,1,0,0x7fffffff,0,,数字,1
%d#堆-最低温度电池组号,最低温度电池组号,/BMS数据块/%d/BMS遥测信息/最低温度电池组号,1,0,0x7fffffff,0,,数字,1
%d#堆-最高电池电压,最高电池电压,/BMS数据块/%d/BMS遥测信息/最高电池电压,1,0,0x7fffffff,0,V,数字,1
%d#堆-最高电池温度,最高电池温度,/BMS数据块/%d/BMS遥测信息/最高电池温度,1,0,0x7fffffff,0,℃,数字,1
%d#堆-最高电压电池所在组ID,最高电压电池所在组ID,/BMS数据块/%d/BMS遥测信息/最高电压电池所在组ID,1,0,0x7fffffff,0,,数字,1
%d#堆-最高电压电池组号,最高电压电池组号,/BMS数据块/%d/BMS遥测信息/最高电压电池组号,1,0,0x7fffffff,0,,数字,1
%d#堆-最高温度电池所在组ID,最高温度电池所在组ID,/BMS数据块/%d/BMS遥测信息/最高温度电池所在组ID,1,0,0x7fffffff,0,,数字,1
%d#堆-最高温度电池组号,最高温度电池组号,/BMS数据块/%d/BMS遥测信息/最高温度电池组号,1,0,0x7fffffff,0,,数字,1
