fullname,shortname,path,k,b,mask,dot,unit,type,records
%d#堆-%d#组-直流接触器状态,直流接触器状态,/BMS数据块/%d/BCMU遥测信息/%d/直流接触器状态,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-直流接触器,直流接触器,/BMS数据块/%d/BCMU遥测信息/%d/直流接触器,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留5,预留5,/BMS数据块/%d/BCMU遥测信息/%d/预留5,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留4,预留4,/BMS数据块/%d/BCMU遥测信息/%d/预留4,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留3,预留3,/BMS数据块/%d/BCMU遥测信息/%d/预留3,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留2,预留2,/BMS数据块/%d/BCMU遥测信息/%d/预留2,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留1,预留1,/BMS数据块/%d/BCMU遥测信息/%d/预留1,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-预留,预留,/BMS数据块/%d/BCMU遥测信息/%d/预留,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻正负对地电阻一般报警,绝缘电阻正负对地电阻一般报警,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻正负对地电阻一般报警,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻正负对地电阻严重报警,绝缘电阻正负对地电阻严重报警,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻正负对地电阻严重报警,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻正负对地电阻轻微报警,绝缘电阻正负对地电阻轻微报警,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻正负对地电阻轻微报警,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DO4,DO4,/BMS数据块/%d/BCMU遥测信息/%d/DO4,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DO3,DO3,/BMS数据块/%d/BCMU遥测信息/%d/DO3,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DO2,DO2,/BMS数据块/%d/BCMU遥测信息/%d/DO2,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DO1,DO1,/BMS数据块/%d/BCMU遥测信息/%d/DO1,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DI4,DI4,/BMS数据块/%d/BCMU遥测信息/%d/DI4,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DI3,DI3,/BMS数据块/%d/BCMU遥测信息/%d/DI3,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DI2,DI2,/BMS数据块/%d/BCMU遥测信息/%d/DI2,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-DI1,DI1,/BMS数据块/%d/BCMU遥测信息/%d/DI1,1,0,0x7fffffff,0,,数字,1
