fullname,shortname,path,k,b,mask,dot,unit,type,records
%d#堆-%d#组-组端总电压一般报警下限值,组端总电压一般报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压一般报警下限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压一般报警上限值,组端总电压一般报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压一般报警上限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压严重报警下限值,组端总电压严重报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压严重报警下限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压严重报警上限值,组端总电压严重报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压严重报警上限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压轻微报警下限值,组端总电压轻微报警下限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压轻微报警下限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压轻微报警上限值,组端总电压轻微报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压轻微报警上限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压报警下限回差值,组端总电压报警下限回差值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压报警下限回差值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-组端总电压报警上限回差值,组端总电压报警上限回差值,/BMS数据块/%d/BCMU遥测信息/%d/组端总电压报警上限回差值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-模块温度一般报警上限值,模块温度一般报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/模块温度一般报警上限值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-模块温度严重报警上限值,模块温度严重报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/模块温度严重报警上限值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-模块温度轻微报警上限值,模块温度轻微报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/模块温度轻微报警上限值,1,0,0x7fffffff,0,℃,数字,1
%d#堆-%d#组-模块温差报警回差值,模块温差报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/模块温差报警回差值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-绝缘电阻正负对地电阻回差值,绝缘电阻正负对地电阻回差值,/BMS数据块/%d/BCMU遥测信息/%d/绝缘电阻正负对地电阻回差值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-放电电流过流一般报警值,放电电流过流一般报警值,/BMS数据块/%d/BCMU遥测信息/%d/放电电流过流一般报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-放电电流过流严重报警值,放电电流过流严重报警值,/BMS数据块/%d/BCMU遥测信息/%d/放电电流过流严重报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-放电电流过流轻微报警值,放电电流过流轻微报警值,/BMS数据块/%d/BCMU遥测信息/%d/放电电流过流轻微报警值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-放电电流过流报警回差值,放电电流过流报警回差值,/BMS数据块/%d/BCMU遥测信息/%d/放电电流过流报警回差值,1,0,0x7fffffff,0,A,数字,1
%d#堆-%d#组-电池单体电压轻微报警上限值,电池单体电压轻微报警上限值,/BMS数据块/%d/BCMU遥测信息/%d/电池单体电压轻微报警上限值,1,0,0x7fffffff,0,V,数字,1
%d#堆-%d#组-单体压差一般报警值,单体压差一般报警值,/BMS数据块/%d/BCMU遥测信息/%d/单体压差一般报警值,1,0,0x7fffffff,0,,数字,1
%d#堆-%d#组-单体压差严重报警值,单体压差严重报警值,/BMS数据块/%d/BCMU遥测信息/%d/单体压差严重报警值,1,0,0x7fffffff,0,,数字,1
